19,125
10,70973
0
0,1487
8,40155
8,10415
2,60225
11,52425
45,2048
45,87395
64,8332
68,62505
57,1008
47,06355
38,43895
10,33465
4,53535
6,6915
23,9407
39,47985
53,90375
60,29785
86,0973
54,4242
44,7587
66,915
84,98205
120,1496
108,551
104,61045
121,1905
107,064
141,48805
162,083
139,10885
117,39865
130,93035
121,11615
100,6699
114,12725
127,7333
134,4248
121,1905
130,93035
127,882
134,2761
109,8893
103,86695
97,3985
99,10855
118,8113
119,77785
112,1198
117,9191
129,0716
137,5475
143,12375
152,2688
158,2168
132,56605
115,61425
124,1645
124,1645
126,6924
120,7444
101,33905
88,99695
73,68085
84,759
81,56195
74,35
87,50995
62,67705
71,30165
0,05207
0
3,72912
1,88217
15,68475
25,7927
2,2137
52,3909
73,19968
85,30124
90,09759
67,66543
61,09812
60,13885
74,23274
59,032
67,51785
81,9069
87,44115
85,22745
71,94525
60,06506
54,53081
33,79582
32,68897
31,7297
47,29939
37,6329
18,4475
19,77572
15,79106
22,21079
48,7014
46,63528
40,5845
45,7498
53,8667
61,9836
63,4594
82,12827
80,13594
79,6932
78,9553
85,5964
83,89923
92,9754
95,55805
100,3544
96,44353
90,83549
86,3343
91,4996
96,96006
71,5763
83,89923
79,02909
81,169
77,40571
69,06744
72,24041
61,61465
58,14652
64,34488
66,63237
54,97355
48,25866
31,34106
46,93044
32,4927
40,87966
28,66761
41,3224
31,6701
48,7014
13,72371
70,32187
2,4678
60,58159
3,27669
43,83126
10,5567
50,1772
48,77519
51,21026
47,2256
7,97922
41,17482
0
36,70167
27,3023
2,804
36,04359
42,28167
35,9202
46,41391
37,60653
46,4877
38,388
23,46522
34,9605
27,3023
23,1699
44,274
16,98669
66,411
6,37515
72,3142
57,48241
11,46156
45,82359
43,09336
33,2055
5,88159
50,69373
39,99418
6,04611
45,23327
6,9921
36,00952
76,52023
47,59455
64,04972
78,9553
72,53557
76,66781
12,69188
22,94869
29,22084
16,89791
20,29225
15,27453
32,91034
51,94816
79,6932
128,46839
72,46178
92,68024
81,61174
89,2859
3,79557
88,99074
16,02108
76,59402
1,3281
82,42343
68,32954
5,66889
70,1005
8,62566
42,13409
1,24422
47,9635
59,7699
0,28659
52,3909
36,895
67,44406
9,45747
18,3714
42,35546
3,8388
50,25099
2,97774
21,6618
27,15472
0,5592
25,41834
37,04258
9,87687
24,34896
21,25152
7,32552
32,6298
0,5592
104,40165
9,113
10,9044
71,03151
12,17535
27,65943
77,39295
6,6411
9,814
8,6676
85,4133
65,193
8,6676
99,5346
86,223
91,36344
78,512
5,24949
177,18804
117,067
171,14193
121,273
9,2268
160,51668
127,582
9,2268
152,60601
124,778
9,2268
156,45852
145,107
9,2268
146,80668
148,612
24,30423
148,05429
144,406
13,53264
156,0198
129,685
8,6676
132,65796
117,768
21,37542
125,14488
103,748
7,29057
132,1644
104,449
132,7128
105,851
129,0111
98,14
2,96376
126,22797
95,336
8,6676
107,6235
91,13
8,6676
104,196
100,243
109,4058
108,655
104,78553
103,748
105,41619
91,13
111,57198
91,13
108,0348
107,253
106,3896
107,954
107,91141
110,758
3,29229
112,61394
121,273
7,85676
113,12121
117,768
3,47403
133,6725
123,376
3,64878
135,1806
124,077
1,55877
131,616
131,788
3,22938
132,86361
122,675
3,57189
146,2857
123,376
146,18973
123,376
154,923
122,675
4,63437
152,4552
132,489
10,00968
153,86733
131,087
3,66276
163,9716
141,602
0,5592
186,89472
145,107
0,2796
202,2225
136,695
61,5819
180,4236
133,891
61,5819
163,68369
128,283
82,23036
156,294
125,479
69,71826
141,33639
22,28458
125,479
61,5819
158,03517
40,43692
129,685
61,5819
149,10996
43,24094
118,469
62,91
149,87772
39,03491
119,17
64,13325
142,3098
61,02433
100,944
62,86806
141,4872
53,64533
109,356
69,80913
121,7448
71,5763
93,934
70,97646
118,8657
85,74398
99,542
62,1411
109,65258
93,49193
103,748
62,5605
112,06554
68,91986
102,346
65,4963
99,24669
68,18196
91,13
62,7003
83,69955
80,4311
79,914
69,42468
80,91642
80,94763
80,615
69,53652
87,18189
65,96826
77,11
68,09658
90,486
42,0603
86,924
0
90,55455
21,98942
98,14
75,52839
24,12933
88,326
83,7681
29,516
91,13
80,55996
18,22613
86,223
73,78722
3,39434
85,522
73,71867
12,98704
88,326
73,92432
9,5927
82,017
89,43033
98,14
82,6713
94,635
90,39003
104,449
99,45234
106,552
81,08094
101,645
67,22013
98,841
57,37635
90,429
62,88777
90,429
74,43159
89,728
70,3323
86,924
69,98955
87,625
65,6709
81,316
62,1063
85,522
70,03068
81,316
74,1711
77,11
59,62479
2,80402
72,203
64,7112
70,1
69,7839
72,203
70,3323
79,213
71,0178
82,718
89,6634
89,027
